hostel,location,grade,rank,study_room,tv_room,security,food_joint,ext_power,proximity,post_code,latitude,longitude
SPLENDOR,AYEDUASE,3.4,average,yes,yes,yes,yes,yes,1600,AK569,6.677488,-1.55748
STANDARD,BOMSO,4.6,good,no,yes,yes,yes,yes,3000,AK192,6.682248,-1.58579
SUN CITY,KENTINKRONO,4,good,yes,no,yes,yes,no,2900,AK630,6.688521,-1.55477
THE BEST,KOTEI,,,yes,no,yes,yes,yes,2800,AK566,6.664474,-1.558753
THY KINGDOM COME,AYEDUASE,2.9,average,yes,no,no,yes,no,1100,AK509,6.677381,-1.562811
THY WILL BE DONE,KOTEI,3,average,yes,yes,no,yes,yes,3800,AK505,6.660331,-1.562277
ULTIMATE ,BOMSO,4.3,good,no,no,yes,yes,yes,2600,AK250,6.683885,-1.580615
VICTORY TOWERS,AYEDUASE,3.7,good,yes,yes,yes,yes,yes,950,AK509,6.675946,-1.562426
WAGYINGO,AYEDUASE,4.1,good,yes,yes,yes,yes,yes,900,AK509,6.674811,-1.561712
WEST END,AYEDUASE,3.7,good,yes,yes,no,yes,yes,1100,AK509,6.677751,-1.563339
WHITE HOUSE,AYEDUASE,2,fair,yes,yes,no,yes,no,750,AK508,6.673007,-1.562735
WHITPAM A,KOTEI,4,good,yes,yes,yes,yes,no,1200,AK507,6.669004,-1.562244
